name	country	country_labeled
OR910159.1	Chile	Chile
OR910164.1	Chile	Chile
OR910172.1	Chile	Chile
OR910178.1	Chile	Chile
OR910186.1	Chile	Chile
OR910192.1	Chile	Chile
OR910199.1	Chile	Chile
OR910205.1	Chile	Chile
OR910217.1	Chile	Chile
OR910223.1	Chile	Chile
OR910231.1	Chile	Chile
OR910238.1	Chile	Chile
OR910243.1	Chile	Chile
OR910248.1	Chile	Chile
OR910254.1	Chile	Chile
OR910261.1	Chile	Chile
OR910268.1	Chile	Chile
OR910275.1	Chile	Chile
OR910282.1	Chile	Chile
OR910289.1	Chile	Chile
OR910295.1	Chile	Chile
OR910301.1	Chile	Chile
OR910308.1	Chile	Chile
OR910318.1	Chile	Chile
OR910325.1	Chile	Chile
OR910331.1	Chile	Chile
OR910346.1	Chile	Chile
OR910353.1	Chile	Chile
OR910361.1	Chile	Chile
OR910366.1	Chile	Chile
OR910371.1	Chile	Chile
OR910378.1	Chile	Chile
OR910384.1	Chile	Chile
OR910389.1	Chile	Chile
OR910396.1	Chile	Chile
OR910404.1	Chile	Chile
OR910409.1	Chile	Chile
OR910415.1	Chile	Chile
OR910419.1	Chile	Chile
OR910425.1	Chile	Chile
OR910430.1	Chile	Chile
OR910435.1	Chile	Chile
OR910442.1	Chile	Chile
OR910447.1	Chile	Chile
OR910453.1	Chile	Chile
OR910460.1	Chile	Chile
OR910468.1	Chile	Chile
OR910474.1	Chile	Chile
OR910477.1	Chile	Chile
OR910481.1	Chile	Chile
OR910487.1	Chile	Chile
OR910495.1	Chile	Chile
OR910502.1	Chile	Chile
OR910509.1	Chile	Chile
OR910515.1	Chile	Chile
OR910521.1	Chile	Chile
OR910528.1	Chile	Chile
OR269887.1	Brazil	Brazil
OR420092.1	Brazil	Brazil
OR591549.1	Peru	Peru (other)
OR591550.1	Peru	Peru (other)
OR591551.1	Peru	Peru (other)
OR381588.1	Uruguay	Uruguay
OR381596.1	Uruguay	Uruguay
OR381604.1	Uruguay	Uruguay
OR381612.1	Uruguay	Uruguay
OR381620.1	Uruguay	Uruguay
OR381627.1	Uruguay	Uruguay
OR381636.1	Uruguay	Uruguay
OR381644.1	Uruguay	Uruguay
OR381652.1	Uruguay	Uruguay
OR381660.1	Uruguay	Uruguay
OR381668.1	Uruguay	Uruguay
OR381676.1	Uruguay	Uruguay
OQ962052.1	USA	USA
OQ965540.1	USA	USA
OQ966268.1	USA	USA
OR435591.1	"Viet Nam"	Viet Nam
OR435638.1	"Viet Nam"	Viet Nam
OQ550426.1	Peru	Peru (other)
OQ550434.1	Peru	Peru (other)
OQ550442.1	Peru	Peru (other)
OQ550450.1	Peru	Peru (other)
OQ550458.1	Peru	Peru (other)
OQ550466.1	Peru	Peru (other)
OQ550474.1	Peru	Peru (other)
OQ925704.1	Peru	Peru (other)
OQ925711.1	Peru	Peru (other)
OQ925717.1	Peru	Peru (other)
OQ925725.1	Peru	Peru (other)
OR268564.1	Chile	Chile
OR268570.1	Chile	Chile
OR268598.1	Chile	Chile
OR269134.1	Chile	Chile
OR269259.1	Chile	Chile
OR269264.1	Chile	Chile
OR269268.1	Chile	Chile
OR265539.1	Chile	Chile
OR265542.1	Chile	Chile
OR265549.1	Chile	Chile
OR265569.1	Chile	Chile
OR265573.1	Chile	Chile
OR265587.1	Chile	Chile
OR265608.1	Chile	Chile
OR265639.1	Chile	Chile
OR125135.1	Chile	Chile
OR125141.1	Chile	Chile
OR125155.1	Chile	Chile
OR125162.1	Chile	Chile
OR125175.1	Chile	Chile
OR125180.1	Chile	Chile
OR125188.1	Chile	Chile
OR125201.1	Chile	Chile
OR125209.1	Chile	Chile
OR125214.1	Chile	Chile
OR125219.1	Chile	Chile
OR125233.1	Chile	Chile
OR125238.1	Chile	Chile
OR125244.1	Chile	Chile
OR125250.1	Chile	Chile
OR125255.1	Chile	Chile
OR125262.1	Chile	Chile
OR125269.1	Chile	Chile
OR125279.1	Chile	Chile
OR125285.1	Chile	Chile
OR125292.1	Chile	Chile
OR125296.1	Chile	Chile
OR125301.1	Chile	Chile
OR125307.1	Chile	Chile
OR125312.1	Chile	Chile
OR125319.1	Chile	Chile
OR125322.1	Chile	Chile
OR125328.1	Chile	Chile
OR125334.1	Chile	Chile
OR125340.1	Chile	Chile
OR125345.1	Chile	Chile
OR125351.1	Chile	Chile
OR125356.1	Chile	Chile
OR125361.1	Chile	Chile
OR125370.1	Chile	Chile
OR125384.1	Chile	Chile
OR125390.1	Chile	Chile
OR125399.1	Chile	Chile
OR125407.1	Chile	Chile
OR125415.1	Chile	Chile
OR125420.1	Chile	Chile
OR125426.1	Chile	Chile
OR125433.1	Chile	Chile
OR125440.1	Chile	Chile
OR125446.1	Chile	Chile
OR125452.1	Chile	Chile
OR125458.1	Chile	Chile
OR125463.1	Chile	Chile
OR125471.1	Chile	Chile
OR125482.1	Chile	Chile
OR125489.1	Chile	Chile
OR125495.1	Chile	Chile
OR125499.1	Chile	Chile
OR125503.1	Chile	Chile
OQ547312.1	Peru	Peru (other)
OQ547319.1	Peru	Peru (other)
OQ547327.1	Peru	Peru (other)
OQ547335.1	Peru	Peru (other)
OQ547343.1	Peru	Peru (other)
OQ547351.1	Peru	Peru (other)
OQ547359.1	Peru	Peru (other)
OQ547367.1	Peru	Peru (other)
OQ547375.1	Peru	Peru (other)
OQ547383.1	Peru	Peru (other)
OQ547391.1	Peru	Peru (other)
OQ547399.1	Peru	Peru (other)
OQ547407.1	Peru	Peru (other)
OQ547415.1	Peru	Peru (other)
OQ547423.1	Peru	Peru (other)
OQ547431.1	Peru	Peru (other)
OQ547439.1	Peru	Peru (other)
OQ547447.1	Peru	Peru (other)
OR048385.1	Japan	Japan
OQ747758.1	Peru	Peru (other)
OQ747759.1	Peru	Peru (other)
OQ747760.1	Peru	Peru (other)
OQ747761.1	Peru	Peru (other)
OQ747762.1	Peru	Peru (other)
OQ747763.1	Peru	Peru (other)
OQ832505.2	Argentina	Argentina
OQ683458.1	Colombia	Colombia
OQ683466.1	Colombia	Colombia
OQ683474.1	Colombia	Colombia
OQ683482.1	Colombia	Colombia
OQ683490.1	Colombia	Colombia
OQ683498.1	Colombia	Colombia
OQ565628.1	Peru	Peru (other)
LC625436.1	Japan	Japan
LC627330.1	Japan	Japan
LC627362.1	Japan	Japan
OQ458189.1	Chile	Chile
OQ455396.1	Chile	Chile
OQ455401.1	Chile	Chile
OQ455410.1	Chile	Chile
OQ455416.1	Chile	Chile
OQ455422.1	Chile	Chile
OQ455437.1	Chile	Chile
OQ455442.1	Chile	Chile
OQ455458.1	Chile	Chile
OQ455466.1	Chile	Chile
OQ352548.1	Chile	Chile
OQ352556.1	Chile	Chile
OQ202267.1	Bangladesh	Bangladesh
OP950297.1	Venezuela	Venezuela
OP950305.1	Venezuela	Venezuela
OP597554.1	Russia	Russia
OP888702.1	Chile	Chile
OP776660.1	"New Zealand"	New Zealand
ON716432.1	Cambodia	Cambodia
ON716439.1	Cambodia	Cambodia
ON024712.1	Egypt	Egypt
OP023753.1	Bangladesh	Bangladesh
MZ564732.1	Mexico	Mexico
MZ564940.1	Mexico	Mexico
MZ564948.1	Mexico	Mexico
MZ564972.1	Mexico	Mexico
ON870441.1	Benin	Benin
MT510051.1	China	China
OM938329.1	Bangladesh	Bangladesh
OL354842.1	Egypt	Egypt
MT781570.2	Denmark	Denmark
MZ235342.1	Japan	Japan
MW314795.1	China	China
MW333318.1	Taiwan	Taiwan
MW333382.1	Taiwan	Taiwan
MW333894.1	Taiwan	Taiwan
MW333926.1	Taiwan	Taiwan
MW334134.1	Taiwan	Taiwan
MW334254.1	Taiwan	Taiwan
MW334382.1	Taiwan	Taiwan
MW334510.1	Taiwan	Taiwan
MW961492.1	Nigeria	Nigeria
MW965518.1	Egypt	Egypt
MW676312.1	China	China
MN874973.1	France	France
MW466215.1	Bangladesh	Bangladesh
MW097765.1	China	China
MW097768.1	China	China
MW098433.1	China	China
MW098445.1	China	China
MW098448.1	China	China
MW098450.1	China	China
MW110032.1	China	China
MT547685.1	"Viet Nam"	Viet Nam
MK849815.1	China	China
MT295787.1	"Viet Nam"	Viet Nam
MT020150.1	Mongolia	Mongolia
MN658688.1	Egypt	Egypt
MN658693.1	Egypt	Egypt
MN577323.1	"South Korea"	South Korea
MN128651.1	China	China
MH347216.1	Chile	Chile
MH165604.1	"South Africa"	South Africa
MK345909.1	USA	USA
LC417187.1	Japan	Japan
MK163970.1	Chile	Chile
MK163984.1	Chile	Chile
MK164009.1	Chile	Chile
MK167355.1	Chile	Chile
MK071388.1	Argentina	Argentina
MH558952.1	Egypt	Egypt
MH546187.1	USA	USA
MH546283.1	USA	USA
MH546363.1	USA	USA
MF112558.1	Nigeria	Nigeria
MH068239.1	USA	USA
MG965072.1	USA	USA
LC342523.1	Japan	Japan
LC274989.1	Japan	Japan
KX960170.1	China	China
MF960003.1	China	China
LC318655.1	Japan	Japan
MF046544.2	USA	USA
KY635638.1	Bangladesh	Bangladesh
KY558847.1	Egypt	Egypt
KY415620.1	China	China
KY171528.1	"Viet Nam"	Viet Nam
KY171536.1	"Viet Nam"	Viet Nam
KY171576.1	"Viet Nam"	Viet Nam
KX513178.1	"Viet Nam"	Viet Nam
LC167766.1	"Viet Nam"	Viet Nam
KX458007.1	Antarctica	Antarctica
KX297877.1	"South Korea"	South Korea
KX254928.1	Chile	Chile
CY207181.1	Colombia	Colombia
CY207189.1	Colombia	Colombia
KT936692.1	China	China
KT936712.1	China	China
KX101134.1	Chile	Chile
KX101141.1	Chile	Chile
KX101207.1	Chile	Chile
KX185908.1	Chile	Chile
KU851866.1	China	China
KP662584.1	India	India
KT361947.1	Bangladesh	Bangladesh
KT280932.1	USA	USA
KM110975.1	India	India
KP762509.1	China	China
KR137670.1	Taiwan	Taiwan
KR233982.1	USA	USA
KJ683880.1	China	China
KP742852.1	Indonesia	Indonesia
KP742883.1	Indonesia	Indonesia
LC028315.1	"Viet Nam"	Viet Nam
KP307984.1	USA	USA
KP097915.1	"Viet Nam"	Viet Nam
LC010736.1	"Viet Nam"	Viet Nam
KM821621.1	"Viet Nam"	Viet Nam
KM821629.1	"Viet Nam"	Viet Nam
KM821638.1	"Viet Nam"	Viet Nam
KJ509132.1	"South Korea"	South Korea
KF369257.1	Cambodia	Cambodia
KF918456.1	Cambodia	Cambodia
KF918478.1	Cambodia	Cambodia
KJ682248.1	Bhutan	Bhutan
CY177345.1	USA	USA
KJ522717.1	Egypt	Egypt
KJ522718.1	Egypt	Egypt
CY167046.1	USA	USA
KJ162588.1	Taiwan	Taiwan
KF772948.1	Chile	Chile
AB818505.1	"Viet Nam"	Viet Nam
KC616475.1	Bangladesh	Bangladesh
KC703334.1	Colombia	Colombia
KC703342.1	Colombia	Colombia
JX912991.1	Egypt	Egypt
JX912995.1	Egypt	Egypt
JQ858479.2	Egypt	Egypt
JQ714246.1	Cambodia	Cambodia
CY089470.1	India	India
JN588816.1	Cambodia	Cambodia
JN588821.1	Cambodia	Cambodia
JN588823.1	Cambodia	Cambodia
JN807824.1	Egypt	Egypt
JN807859.1	Egypt	Egypt
JN795912.1	Bangladesh	Bangladesh
JN613381.1	Nepal	Nepal
JN613388.1	Nepal	Nepal
CY098325.1	Laos	Laos
CY098460.1	Laos	Laos
HQ198275.2	Egypt	Egypt
HQ198290.2	Egypt	Egypt
CY062609.1	Egypt	Egypt
cov4496	Peru	Peru (novel)
cov3904	Peru	Peru (novel)
cov4479	Peru	Peru (novel)
cov4404	Peru	Peru (novel)
cov4495	Peru	Peru (novel)
cov3903	Peru	Peru (novel)
cov4486	Peru	Peru (novel)
cov4445	Peru	Peru (novel)
cov4425	Peru	Peru (novel)
cov4411	Peru	Peru (novel)
cov4418	Peru	Peru (novel)
cov4488	Peru	Peru (novel)
cov4448	Peru	Peru (novel)
covXXXX	Peru	Peru (novel)
cov4422	Peru	Peru (novel)
cov4410	Peru	Peru (novel)
cov4464	Peru	Peru (novel)
cov4424	Peru	Peru (novel)
cov4485	Peru	Peru (novel)
cov4401	Peru	Peru (novel)
cov4415	Peru	Peru (novel)
cov4402	Peru	Peru (novel)
cov4484	Peru	Peru (novel)
cov4487	Peru	Peru (novel)
cov4483	Peru	Peru (novel)
cov4409	Peru	Peru (novel)
cov4449	Peru	Peru (novel)
cov4389	Peru	Peru (novel)
cov4386	Peru	Peru (novel)
cov4437	Peru	Peru (novel)
cov4399	Peru	Peru (novel)
cov4388	Peru	Peru (novel)
cov4433	Peru	Peru (novel)
cov4474	Peru	Peru (novel)
cov4414	Peru	Peru (novel)
cov4420	Peru	Peru (novel)
cov4406	Peru	Peru (novel)
cov4491	Peru	Peru (novel)
cov4493	Peru	Peru (novel)
cov4393	Peru	Peru (novel)
cov4482	Peru	Peru (novel)
cov4478	Peru	Peru (novel)
cov4475	Peru	Peru (novel)
cov4471	Peru	Peru (novel)
cov4373	Peru	Peru (novel)
cov4441	Peru	Peru (novel)
cov4416	Peru	Peru (novel)
cov4419	Peru	Peru (novel)
cov4380	Peru	Peru (novel)
cov4438	Peru	Peru (novel)
cov4417	Peru	Peru (novel)
cov4494	Peru	Peru (novel)
cov4490	Peru	Peru (novel)
cov4492	Peru	Peru (novel)
cov4385	Peru	Peru (novel)
