HA Segment_Id	strain	virus	isolate_id	date	region	country	division	location	host	domestic_status
EPI3292998|A/peregrine falcon/Hokkaido/4803Z006/2024	A/peregrine falcon/Hokkaido/4803Z006/2024	avian_flu	EPI_ISL_19139302	2024-03-15	Asia	Japan	Hokkaido	Fukagawa	Falco peregrinus	Wild
EPI2794533|A/peregrine falcon /Sweden/SVA231027SZ0234 /FB004372/U-2023	A/peregrine falcon/Sweden/SVA231027SZ0234/FB004372/U-2023	avian_flu	EPI_ISL_18514426	2023-06-23	Europe	Sweden	Vastmanlands Lan	Vasteras Kommun	Falco peregrinus	Wild
EPI2794523|A/peregrine falcon /Sweden/SVA231017SZ0445/FB004185/U-2023	A/peregrine falcon /Sweden/SVA231017SZ0445/FB004185/U-2023	avian_flu	EPI_ISL_18514139	2023-07-02	Europe	Sweden	Vastmanlands Lan	Kopings Kommun	Falco peregrinus	Wild
EPI2744224|A/peregrine falcon/Sweden/SVA230725SZ0382/FB002504/M-2023	A/peregrine falcon/Sweden/SVA230725SZ0382/FB002504/M-2023	avian_flu	EPI_ISL_18255293	2023-06-06	Europe	Sweden	Skane Lan	Helsingborgs Kommun	Falco peregrinus	Wild
EPI2744216|A/peregrine falcon/Sweden/SVA230808SZ0403/FB002649/E-2023	A/peregrine falcon/Sweden/SVA230808SZ0403/FB002649/E-2023	avian_flu	EPI_ISL_18255288	2023-07-20	Europe	Sweden	Hallands Lan	Kinda Kommun	Falco peregrinus	Wild
EPI2540193|A/Falco_peregrinus/Belgium/01823_0003/2023	A/Falco_peregrinus/Belgium/01823_0003/2023	avian_flu	EPI_ISL_17599455	2023-03-01	Europe	Belgium	Provincie Oost-Vlaanderen	Kluisbergen	Falco peregrinus	Wild
EPI2536766|A/pink-footed_goose/Scotland/047907/2023|HA	A/pink-footed_goose/Scotland/047907/2023	avian_flu	EPI_ISL_17564815	2023-03-28	Europe	United Kingdom	Scotland	NA	Goose	NA
EPI2437547|A/Greylag_Goose/England/175256/2022|HA	A/Greylag_Goose/England/175256/2022	avian_flu	EPI_ISL_17072782	2022-12-26	Europe	United Kingdom	England	NA	Goose	NA
EPI2437358|A/canada_goose/England/121823/2023|HA	A/canada_goose/England/121823/2023	avian_flu	EPI_ISL_17072339	2023-01-30	Europe	United Kingdom	England	NA	Goose	NA
EPI2352706|A/Pink-Footed_Goose/England/120645/2022|HA	A/Pink-Footed_Goose/England/120645/2022	avian_flu	EPI_ISL_16811205	2022-12-29	Europe	United Kingdom	England	NA	Goose	NA
EPI2352681|A/Greylag_Goose/England/120696/2022|HA	A/Greylag_Goose/England/120696/2022	avian_flu	EPI_ISL_16811201	2022-12-30	Europe	United Kingdom	England	NA	Goose	NA
EPI2352633|A/barnacle_goose/Scotland/008625/2023|HA	A/barnacle_goose/Scotland/008625/2023	avian_flu	EPI_ISL_16811195	2023-01-06	Europe	United Kingdom	Scotland	NA	Goose	NA
EPI2352571|A/domestic_goose/England/005770/2023|HA	A/domestic_goose/England/005770/2023	avian_flu	EPI_ISL_16811187	2023-01-09	Europe	United Kingdom	England	NA	Goose	NA
EPI2244295|A/domestic goose/Germany-SH/AI04267/2022	A/domestic goose/Germany-SH/AI04267/2022	avian_flu	EPI_ISL_16122075	2022-07-25	Europe	Germany	Schleswig-Holstein	Dithmarschen	Goose	Domestic
EPI2233130|A/Greylag_goose/England/118319/2022|HA	A/Greylag_goose/England/118319/2022	avian_flu	EPI_ISL_15958017	2022-10-25	Europe	United Kingdom	England	NA	Goose	NA
EPI1965213|2022-wk04-02_HA_H5	A/goose/Netherlands/22000487-001/2022	avian_flu	EPI_ISL_9111095	2022-01-06	Europe	Netherlands	Provincie Gelderland	NA	Goose	NA
EPI2725874|A/Anser_anser/France/22P007390/2022	A/Anser_anser/France/22P007390/2022	avian_flu	EPI_ISL_18219237	2022-02-03	Europe	France	Region Nord-Pas-De Calais	Departement du Nord	Anser anser	Wild
EPI2072024|A/Greylag_goose/Isle_of_Man/010298/2022_|H5N1|HA	A/Greylag_goose/Isle_of_Man/010298/2022	avian_flu	EPI_ISL_13370693	2022-01-14	Europe	Isle of Man	NA	NA	Anser anser	NA
EPI2820733|A/guinea_fowl/Italy/23VIR10341-6/2023_HA	A/guinea_fowl/Italy/23VIR10341-6/2023	avian_flu	EPI_ISL_18612234	2023-11-16	Europe	Italy	Padova	NA	Guineafowl	NA
EPI2921503|A/gull/Maule/SJCEIRR-2343291/2023	A/gull/Maule/SJCEIRR-2343291/2023	avian_flu	EPI_ISL_18777130	2023-01-26	South America	Chile	Region del Maule	NA	Gull	NA
EPI2612007|A/slender-billed_gull/Italy/23VIR5730-6/2023_HA	A/slender-billed_gull/Italy/23VIR5730-6/2023	avian_flu	EPI_ISL_17958952	2023-06-11	Europe	Italy	Ravenna	NA	Gull	NA
EPI2611999|A/slender-billed_gull/Italy/23VIR5730-11/2023_HA	A/slender-billed_gull/Italy/23VIR5730-11/2023	avian_flu	EPI_ISL_17958951	2023-06-11	Europe	Italy	Ravenna	NA	Gull	NA
EPI2611991|A/slender-billed_gull/Italy/23VIR5730-10/2023_HA	A/slender-billed_gull/Italy/23VIR5730-10/2023	avian_flu	EPI_ISL_17958950	2023-06-11	Europe	Italy	Ravenna	NA	Gull	NA
EPI2611983|A/black-headed_gull/Italy/23VIR5685-1/2023_HA	A/black-headed_gull/Italy/23VIR5685-1/2023	avian_flu	EPI_ISL_17958949	2023-06-11	Europe	Italy	Ravenna	NA	Gull	NA
EPI2611975|A/black-headed_gull/Italy/23VIR5684-1/2023_HA	A/black-headed_gull/Italy/23VIR5684-1/2023	avian_flu	EPI_ISL_17958948	2023-06-11	Europe	Italy	Ravenna	NA	Gull	NA
EPI2841706|A/Larus_argentatus/Belgium/08571_0001/2023	A/Larus_argentatus/Belgium/08571_0001/2023	avian_flu	EPI_ISL_18647515	2023-09-11	Europe	Belgium	Provincie West-Vlaanderen	Koksijde	Larus argentatus	Wild
EPI2759312|A/european herring gull/Leningrad_region/RII-WD493S/2023	A/european herring gull/Leningrad_region/RII-WD493S/2023	avian_flu	EPI_ISL_18317774	2023-08-28	Europe	Russian Federation	Leningrad Oblast	Novyj Svet	Larus argentatus	Wild
EPI2759298|A/european herring gull/Leningrad_region/RII-WD485S/2023	A/european herring gull/Leningrad_region/RII-WD485S/2023	avian_flu	EPI_ISL_18317773	2023-08-28	Europe	Russian Federation	Leningrad Oblast	Novyj Svet	Larus argentatus	Wild
EPI2759288|A/european herring gull/Leningrad_region/RII-WD478S/2023	A/european herring gull/Leningrad_region/RII-WD478S/2023	avian_flu	EPI_ISL_18317757	2023-08-25	Europe	Russian Federation	Leningrad Oblast	Novyj Svet	Larus argentatus	Wild
EPI2759280|A/european herring gull/Leningrad_region/RII-WD312/2023	A/european herring gull/Leningrad_region/RII-WD312/2023	avian_flu	EPI_ISL_18317317	2023-08-02	Europe	Russian Federation	Leningrad Oblast	NA	Larus argentatus	Wild
EPI2351619|A/Larus_argentatus/Belgium/10811_0002/2022	A/Larus_argentatus/Belgium/10811_0002/2022	avian_flu	EPI_ISL_16810105	2022-09-07	Europe	Belgium	Provincie West-Vlaanderen	Nieuwpoort	Larus argentatus	Wild
EPI2247340|A/Herring Gull/NL/FAV-0091-01/2022	A/Herring Gull/NL/FAV-0091-01/2022	avian_flu	EPI_ISL_16190850	2022-01-31	North America	Canada	Newfoundland and Labrador	NA	Larus argentatus	Wild
EPI2068960|A/European herring gull/Sweden/SVA220422SZ0382/FB001241/G-2022	A/European herring gull/Sweden/SVA220422SZ0382/FB001241/G-2022	avian_flu	EPI_ISL_13338018	2022-04-29	Europe	Sweden	Kronobergs Lan	Vaxjo Kommun	Larus argentatus	Wild
EPI2072008|A/common_gull/England/245481/2021_|H5N1|HA	A/common_gull/England/245481/2022	avian_flu	EPI_ISL_13370679	2022-01-08	Europe	United Kingdom	England	NA	Larus canus	NA
EPI2244359|A/lesser black-backed gull/Germany-SH/AI04277/2022	A/lesser black-backed gull/Germany-SH/AI04277/2022	avian_flu	EPI_ISL_16122153	2022-07-20	Europe	Germany	Schleswig-Holstein	Dithmarschen	Larus fuscus	Wild
EPI2150854|A/Mediterranean gull/Sweden/SVA220617SZ0306/FB001940/2022	A/Mediterranean gull/Sweden/SVA220617SZ0306/FB001940/2022	avian_flu	EPI_ISL_14811850	2022-06-13	Europe	Sweden	Blekinge Lan	Solvesborgs Kommun	Larus melanocephalus	Wild
EPI2150846|A/Mediterranean gull/Sweden/SVA220617SZ0306/FB001939/K-2022	A/Mediterranean gull/Sweden/SVA220617SZ0306/FB001939/K-2022	avian_flu	EPI_ISL_14811846	2022-06-13	Europe	Sweden	Blekinge Lan	Solvesborgs Kommun	Larus melanocephalus	Wild
EPI2150918|A/black-headed gull/Sweden/SVA220616SZ0350/FB001880/M-2022	A/black-headed gull/Sweden/SVA220616SZ0350/FB001880/M-2022	avian_flu	EPI_ISL_14812299	2022-06-04	Europe	Sweden	Skane Lan	Vellinge Kommun	Larus ridibundus	Wild
EPI2150675|A/black-headed gull/Sweden/SVA220617SZ0305/FB001920/K-2022	A/black-headed gull/Sweden/SVA220617SZ0305/FB001920/K-2022	avian_flu	EPI_ISL_14811827	2022-06-16	Europe	Sweden	Blekinge Lan	Solvesborgs Kommun	Larus ridibundus	Wild
EPI2150667|A/black-headed gull/Sweden/SVA220616SZ0350/FB001882/M-2022	A/black-headed gull/Sweden/SVA220616SZ0350/FB001882/M-2022	avian_flu	EPI_ISL_14811826	2022-06-04	Europe	Sweden	Skane Lan	Vellinge Kommun	Larus ridibundus	Wild
EPI2247268|A/Franklin's Gull/AB/FAV-0505-51/2022	A/Franklin's Gull/AB/FAV-0505-51/2022	avian_flu	EPI_ISL_16189981	2022-04-28	North America	Canada	Alberta	NA	Leucophaeus	Wild
EPI2664982|A/common tern/Austria/23076736-001/2023_segment_4	A/common tern/Austria/23076736-001/2023	avian_flu	EPI_ISL_18058703	2023-06-14	Europe	Austria	Vorarlberg	Bregenz	Sterna hirundo	NA
EPI2664974|A/common tern/Austria/23072665-001/2023_segment_4	A/common tern/Austria/23072665-001/2023	avian_flu	EPI_ISL_18058695	2023-06-05	Europe	Austria	Vorarlberg	Bregenz	Sterna hirundo	NA
EPI2664966|A/common tern/Austria/23067487-002/2023_segment_4	A/common tern/Austria/23067487-002/2023	avian_flu	EPI_ISL_18058694	2023-05-23	Europe	Austria	Vorarlberg	Bregenz	Sterna hirundo	NA
NA	A/swan/Mangystau/9809/2023	avian_flu	EPI_ISL_19333690	2023-12-27	Asia	Kazakhstan	Mangystau	NA	Swan	NA
EPI2820725|A/mute_swan/Slovenia/PER1486-23TA_23VIR10323-22/2023_HA	A/mute_swan/Slovenia/PER1486-23TA_23VIR10323-22/2023	avian_flu	EPI_ISL_18612233	2023-09-11	Europe	Slovenia	NA	NA	Swan	NA
EPI2222198|A/mute swan/Croatia/126/2022	A/mute swan/Croatia/126/2022	avian_flu	EPI_ISL_15895380	2022-11-11	Europe	Croatia	Vukovarsko-Srijemska Zupanija	Vukovar, Vuka river	Cygnus olor	Wild
EPI2222197|A/mute swan/Croatia/125/2022	A/mute swan/Croatia/125/2022	avian_flu	EPI_ISL_15895379	2022-11-10	Europe	Croatia	Vukovarsko-Srijemska Zupanija	Vukovar, Vuka river	Cygnus olor	Wild
EPI2208911|A/Cygnus_olor/Belgium/11304_0009/2022	A/Cygnus_olor/Belgium/11304_0009/2022	avian_flu	EPI_ISL_15699041	2022-09-21	Europe	Belgium	Provincie West-Vlaanderen	Brugge	Cygnus olor	Wild
EPI2072224|A/mute_swan/Scotland/029919/2022_|H5N1|HA	A/mute_swan/Scotland/029919/2022	avian_flu	EPI_ISL_13370908	2022-03-07	Europe	United Kingdom	Scotland	NA	Cygnus olor	NA
EPI2072216|A/mute_swan/Scotland/029918/2022_|H5N1|HA	A/mute_swan/Scotland/029918/2022	avian_flu	EPI_ISL_13370907	2022-03-07	Europe	United Kingdom	Scotland	NA	Cygnus olor	NA
EPI1994426|A/Mute Swan/Sweden/SVA220103SZ0264/FB000005/AB-2022	A/Mute Swan/Sweden/SVA220103SZ0264/FB000005/AB-2022	avian_flu	EPI_ISL_10913846	2022-01-01	Europe	Sweden	Stockholms Lan	Stockholms Kommun	Cygnus olor	Wild
EPI1994418|A/Mute Swan/Sweden/SVA220103SZ0264/FB000004/AB-2022	A/Mute Swan/Sweden/SVA220103SZ0264/FB000004/AB-2022	avian_flu	EPI_ISL_10911953	2022-01-01	Europe	Sweden	Stockholms Lan	Stockholms Kommun	Cygnus olor	Wild
EPI1980686|785-22 H5	A/mute swan/Czech Republic/785/2022	avian_flu	EPI_ISL_9603943	2022-01-10	Europe	Czech Republic	Stredocesky Kraj	Okres Praha-Zapad	Cygnus olor	Wild
EPI3442686|A/turkey/Minnesota/24-014760-002/2024_HA	A/turkey/Minnesota/24-014760-002/2024	avian_flu	EPI_ISL_19270676	2024-05-18	North America	United States	Minnesota	NA	Turkey	NA
EPI3442254|A/turkey/Minnesota/24-014760-001/2024_HA	A/turkey/Minnesota/24-014760-001/2024	avian_flu	EPI_ISL_19270601	2024-05-18	North America	United States	Minnesota	NA	Turkey	NA
EPI3442247|A/turkey/Minnesota/24-014759-003/2024_HA	A/turkey/Minnesota/24-014759-003/2024	avian_flu	EPI_ISL_19270600	2024-05-18	North America	United States	Minnesota	NA	Turkey	NA
EPI3442231|A/turkey/Minnesota/24-014687-003/2024_HA	A/turkey/Minnesota/24-014687-003/2024	avian_flu	EPI_ISL_19270598	2024-05-18	North America	United States	Minnesota	NA	Turkey	NA
EPI3442223|A/turkey/Minnesota/24-014687-002/2024_HA	A/turkey/Minnesota/24-014687-002/2024	avian_flu	EPI_ISL_19270597	2024-05-15	North America	United States	Minnesota	NA	Turkey	NA
EPI3442215|A/turkey/Minnesota/24-014687-001/2024_HA	A/turkey/Minnesota/24-014687-001/2024	avian_flu	EPI_ISL_19270596	2024-05-15	North America	United States	Minnesota	NA	Turkey	NA
EPI3442199|A/turkey/Minnesota/24-014685-002/2024_HA	A/turkey/Minnesota/24-014685-002/2024	avian_flu	EPI_ISL_19270593	2024-05-15	North America	United States	Minnesota	NA	Turkey	NA
EPI3377248|A/turkey/Italy/23VIR1964-19/2023_HA	A/turkey/Italy/23VIR1964-19/2023	avian_flu	EPI_ISL_19204439	2023-03-08	Europe	Italy	NA	NA	Turkey	NA
EPI3343258|A/turkey/Burkina_Faso/BKF13_24VIR3019-13/2024_HA	A/turkey/Burkina_Faso/BKF13_24VIR3019-13/2024	avian_flu	EPI_ISL_19171213	2024-03-25	Africa	Burkina Faso	NA	NA	Turkey	NA
EPI3343234|A/turkey/Burkina_Faso/BKF3_24VIR3019-3/2024_HA	A/turkey/Burkina_Faso/BKF3_24VIR3019-3/2024	avian_flu	EPI_ISL_19171210	2024-03-01	Africa	Burkina Faso	NA	NA	Turkey	NA
EPI2352617|A/turkey/England/006957/2023|HA	A/turkey/England/006957/2023	avian_flu	EPI_ISL_16811193	2023-01-11	Europe	United Kingdom	England	NA	Turkey	NA
EPI2352585|A/turkey/England/006787/2023|HA	A/turkey/England/006787/2023	avian_flu	EPI_ISL_16811189	2023-01-11	Europe	United Kingdom	England	NA	Turkey	NA
EPI2352555|A/turkey/England/005293/2023|HA	A/turkey/England/005293/2023	avian_flu	EPI_ISL_16811185	2023-01-09	Europe	United Kingdom	England	NA	Turkey	NA
EPI2841698|A/Rissa_tridactyla/Belgium/07522_0001/2023	A/Rissa_tridactyla/Belgium/07522_0001/2023	avian_flu	EPI_ISL_18647514	2023-08-07	Europe	Belgium	Provincie West-Vlaanderen	De Haan	Other avian	Wild
EPI2820847|A/mallard/Italy/23VIR10283/2023_HA	A/mallard/Italy/23VIR10283/2023	avian_flu	EPI_ISL_18612269	2023-11-09	Europe	Italy	Verona	NA	Other avian	NA
NA	A/gadwall/Italy/23VIR10417/2023	avian_flu	EPI_ISL_18612268	2023-11-13	Europe	Italy	Ravenna	NA	Other avian	NA
EPI2820717|A/common_tern/Slovenia/PER1276-23MA_23VIR10323-21/2023_HA	A/common_tern/Slovenia/PER1276-23MA_23VIR10323-21/2023	avian_flu	EPI_ISL_18612232	2023-07-20	Europe	Slovenia	NA	NA	Other avian	NA
EPI2820709|A/white_stork/Slovenia/PER1522-23TA_23VIR10323-20/2023_HA	A/white_stork/Slovenia/PER1522-23TA_23VIR10323-20/2023	avian_flu	EPI_ISL_18612231	2023-09-14	Europe	Slovenia	NA	NA	Other avian	NA
EPI2820701|A/house_sparrow/Slovenia/PER351-23MA_23VIR10323-19/2023_HA	A/house_sparrow/Slovenia/PER351-23MA_23VIR10323-19/2023	avian_flu	EPI_ISL_18612230	2023-03-03	Europe	Slovenia	NA	NA	Other avian	NA
EPI2820693|A/mediterranean_gull/Slovenia/PER1054-23M6A_23VIR10323-18/2023_HA	A/mediterranean_gull/Slovenia/PER1054-23M6A_23VIR10323-18/2023	avian_flu	EPI_ISL_18612229	2023-05-31	Europe	Slovenia	NA	NA	Other avian	NA
EPI2820685|A/black-headed_gull/Slovenia/PER1054-23T4A_23VIR10323-16/2023_HA	A/black-headed_gull/Slovenia/PER1054-23T4A_23VIR10323-16/2023	avian_flu	EPI_ISL_18612228	2023-05-31	Europe	Slovenia	NA	NA	Other avian	NA
EPI2820677|A/common_tern/Slovenia/PER1054-23K2A_23VIR10323-14/2023_HA	A/common_tern/Slovenia/PER1054-23K2A_23VIR10323-14/2023	avian_flu	EPI_ISL_18612227	2023-05-31	Europe	Slovenia	NA	NA	Other avian	NA
EPI2820669|A/black-headed_gull/Slovenia/PER_495-23ma_23VIR10323-13/2023_HA	A/black-headed_gull/Slovenia/PER_495-23ma_23VIR10323-13/2023	avian_flu	EPI_ISL_18612226	2023-03-17	Europe	Slovenia	NA	NA	Other avian	NA
EPI2820661|A/black-headed_gull/Slovenia/PER942-23T4A_23VIR10323-12/2023_HA	A/black-headed_gull/Slovenia/PER942-23T4A_23VIR10323-12/2023	avian_flu	EPI_ISL_18612225	2023-05-16	Europe	Slovenia	NA	NA	Other avian	NA
EPI2820653|A/common_tern/Slovenia/PER942-23K1A_23VIR10323-10/2023_HA	A/common_tern/Slovenia/PER942-23K1A_23VIR10323-10/2023	avian_flu	EPI_ISL_18612224	2023-05-16	Europe	Slovenia	NA	NA	Other avian	NA
EPI2750962|2023-wk36-21_HA_H5	A/Sandwich Tern/Netherlands/23009152-001/2023	avian_flu	EPI_ISL_18286219	2023-05-26	Europe	Netherlands	Provincie Noord-Holland	NA	Other avian	NA
EPI2582781|A/common tern/Croatia/44-1/2023	A/common tern/Croatia/44-1/2023	avian_flu	EPI_ISL_17762861	2023-05-15	Europe	Croatia	Zagrebacka Zupanija	Siromaja lake	Other avian	Wild
EPI2536758|A/black-headed_gull/England/258818/2023|HA	A/black-headed_gull/England/258818/2023	avian_flu	EPI_ISL_17564792	2023-03-25	Europe	United Kingdom	England	NA	Other avian	NA
EPI2536750|A/black-headed_gull/England/258811/2023|HA	A/black-headed_gull/England/258811/2023	avian_flu	EPI_ISL_17564773	2023-03-25	Europe	United Kingdom	England	NA	Other avian	NA
EPI2509923|A/black-headed_gull/England/258716/2023|HA	A/black-headed_gull/England/258716/2023	avian_flu	EPI_ISL_17465837	2023-03-23	Europe	United Kingdom	England	NA	Other avian	NA
EPI2509915|A/pink-footed_goose/Scotland/323521/2023|HA	A/pink-footed_goose/Scotland/323521/2023	avian_flu	EPI_ISL_17465836	2023-03-17	Europe	United Kingdom	Scotland	NA	Other avian	NA
EPI2509867|A/pink-footed_goose/Scotland/040819/2023|HA	A/pink-footed_goose/Scotland/040819/2023	avian_flu	EPI_ISL_17465830	2023-03-14	Europe	United Kingdom	Scotland	NA	Other avian	NA
EPI2437366|A/tawny_owl/England/397504/2023|HA	A/tawny_owl/England/397504/2023	avian_flu	EPI_ISL_17072341	2023-01-28	Europe	United Kingdom	England	NA	Other avian	NA
EPI2416456|2023-wk08-05_HA_H5	A/White Stork/Netherlands/23002318-002/2023	avian_flu	EPI_ISL_17008431	2023-02-06	Europe	Netherlands	South Holland	NA	Other avian	NA
EPI2352698|A/Mute_Swan/England/120738/2022|HA	A/Mute_Swan/England/120738/2022	avian_flu	EPI_ISL_16811204	2022-12-31	Europe	United Kingdom	England	NA	Other avian	NA
EPI2352665|A/Mute_Swan/England/120693/2022|HA	A/Mute_Swan/England/120693/2022	avian_flu	EPI_ISL_16811199	2022-12-30	Europe	United Kingdom	England	NA	Other avian	NA
EPI2296781|A/Otus_scops/Belgium/13463-0002/2022	A/Otus_scops/Belgium/13463-0002/2022	avian_flu	EPI_ISL_16549245	2022-11-21	Europe	Belgium	Province de Liege	Lontzen	Other avian	Domestic
EPI2296234|A/Pelecanus_conspicillatus/Belgium/12905-0001/2022	A/Pelecanus_conspicillatus/Belgium/12905-0001/2022	avian_flu	EPI_ISL_16548347	2022-11-08	Europe	Belgium	Province de Hainaut	Cambron-Casteau	Other avian	Domestic
EPI2278345|A/domestic_duck/England/170578/2022|HA	A/domestic_duck/England/170578/2022	avian_flu	EPI_ISL_16384199	2022-12-19	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278321|A/canada_goose/England/395873/2022|HA	A/canada_goose/England/395873/2022	avian_flu	EPI_ISL_16384196	2022-11-30	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278313|A/mute_swan/England/395870/2022|HA	A/mute_swan/England/395870/2022	avian_flu	EPI_ISL_16384195	2022-11-30	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278305|A/greylag_goose/England/395808/2022|HA	A/greylag_goose/England/395808/2022	avian_flu	EPI_ISL_16384194	2022-11-25	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278297|A/mute_swan/England/395769/2022|HA	A/mute_swan/England/395769/2022	avian_flu	EPI_ISL_16384193	2022-11-25	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278289|A/greylag_goose/England/334954/2022|HA	A/greylag_goose/England/334954/2022	avian_flu	EPI_ISL_16384192	2022-12-05	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278281|A/common_buzzard/England/334939/2022|HA	A/common_buzzard/England/334939/2022	avian_flu	EPI_ISL_16384191	2022-12-05	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278273|A/mute_swan/England/334590/2022|HA	A/mute_swan/England/334590/2022	avian_flu	EPI_ISL_16384190	2022-12-01	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278265|A/canada_goose/England/334519/2022|HA	A/canada_goose/England/334519/2022	avian_flu	EPI_ISL_16384189	2022-12-01	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278257|A/mute_swan/England/334508/2022|HA	A/mute_swan/England/334508/2022	avian_flu	EPI_ISL_16384188	2022-12-01	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278249|A/mute_swan/England/333694/2022|HA	A/mute_swan/England/333694/2022	avian_flu	EPI_ISL_16384187	2022-11-24	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278241|A/mute_swan/England/333688/2022|HA	A/mute_swan/England/333688/2022	avian_flu	EPI_ISL_16384186	2022-11-24	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278233|A/pheasant/England/119956/2022|HA	A/pheasant/England/119956/2022	avian_flu	EPI_ISL_16384185	2022-12-06	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278225|A/pheasant/England/119954/2022|HA	A/pheasant/England/119954/2022	avian_flu	EPI_ISL_16384184	2022-12-06	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278217|A/canada_goose/England/119929/2022|HA	A/canada_goose/England/119929/2022	avian_flu	EPI_ISL_16384183	2022-12-06	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278209|A/greylag_goose/England/119927/2022|HA	A/greylag_goose/England/119927/2022	avian_flu	EPI_ISL_16384182	2022-12-06	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278201|A/mute_swan/England/119920/2022|HA	A/mute_swan/England/119920/2022	avian_flu	EPI_ISL_16384181	2022-12-06	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278193|A/greylag_goose/England/119911/2022|HA	A/greylag_goose/England/119911/2022	avian_flu	EPI_ISL_16384180	2022-12-06	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278185|A/mute_swan/England/119898/2022|HA	A/mute_swan/England/119898/2022	avian_flu	EPI_ISL_16384179	2022-12-05	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278177|A/canada_goose/England/119770/2022|HA	A/canada_goose/England/119770/2022	avian_flu	EPI_ISL_16384178	2022-11-30	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278169|A/canada_goose/England/119759/2022|HA	A/canada_goose/England/119759/2022	avian_flu	EPI_ISL_16384177	2022-12-01	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278161|A/mute_swan/England/119728/2022|HA	A/mute_swan/England/119728/2022	avian_flu	EPI_ISL_16384176	2022-11-30	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278153|A/mute_swan/England/119719/2022|HA	A/mute_swan/England/119719/2022	avian_flu	EPI_ISL_16384175	2022-12-01	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278145|A/black-headed_gull/England/119705/2022|HA	A/black-headed_gull/England/119705/2022	avian_flu	EPI_ISL_16384174	2022-12-01	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278137|A/black-headed_gull/England/119699/2022|HA	A/black-headed_gull/England/119699/2022	avian_flu	EPI_ISL_16384173	2022-12-01	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278129|A/domestic_goose/England/119665/2022|HA	A/domestic_goose/England/119665/2022	avian_flu	EPI_ISL_16384172	2022-11-23	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278121|A/mute_swan/England/119557/2022|HA	A/mute_swan/England/119557/2022	avian_flu	EPI_ISL_16384171	2022-11-24	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278113|A/canada_goose/England/119462/2022|HA	A/canada_goose/England/119462/2022	avian_flu	EPI_ISL_16384170	2022-11-23	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278105|A/peregrine_falcon/England/255567/2022|HA	A/peregrine_falcon/England/255567/2022	avian_flu	EPI_ISL_16384169	2022-12-03	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278097|A/greylag_goose/England/255248/2022|HA	A/greylag_goose/England/255248/2022	avian_flu	EPI_ISL_16384168	2022-11-30	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278089|A/greylag_goose/England/316980/2022|HA	A/greylag_goose/England/316980/2022	avian_flu	EPI_ISL_16384167	2022-12-04	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278081|A/mute_swan/Scotland/164387/2022|HA	A/mute_swan/Scotland/164387/2022	avian_flu	EPI_ISL_16384166	2022-11-22	Europe	United Kingdom	Scotland	NA	Other avian	NA
EPI2278073|A/pink-footed_goose/Scotland/163839/2022|HA	A/pink-footed_goose/Scotland/163839/2022	avian_flu	EPI_ISL_16384165	2022-11-24	Europe	United Kingdom	Scotland	NA	Other avian	NA
EPI2278065|A/pink-footed_goose/Scotland/163834/2022|HA	A/pink-footed_goose/Scotland/163834/2022	avian_flu	EPI_ISL_16384164	2022-11-30	Europe	United Kingdom	Scotland	NA	Other avian	NA
EPI2278057|A/domestic_goose/England/169312/2022|HA	A/domestic_goose/England/169312/2022	avian_flu	EPI_ISL_16384163	2022-12-14	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278041|A/domestic_duck/England/164793/2022|HA	A/domestic_duck/England/164793/2022	avian_flu	EPI_ISL_16384161	2022-12-06	Europe	United Kingdom	England	NA	Other avian	NA
EPI2278025|A/Humboldt_penguin/England/161651/2022|HA	A/Humboldt_penguin/England/161651/2022	avian_flu	EPI_ISL_16384159	2022-12-04	Europe	United Kingdom	England	NA	Other avian	NA
