name	title	country	host	date
KM386916.1	Influenza A virus (A/chicken/India/09CA09/2011(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	India	Gallus gallus	2011-09-XX
KJ397915.1	Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bangladesh	Aves	2010-12-XX
KJ397920.1	Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Bangladesh	Aves	2010-12-XX
KM368274.1	Influenza A virus (A/chicken/Queretaro/1939-05/2005(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2005-03-XX
KM368275.1	Influenza A virus (A/chicken/Coahuila/2675-05/2005(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2005-04-XX
KM368276.1	Influenza A virus (A/chicken/Durango/2678-05/2005(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2005-04-XX
KM368277.1	Influenza A virus (A/chicken/Durango/3717-05/2005(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2005-06-XX
KM368279.1	Influenza A virus (A/chicken/Mexico/4188-05/2005(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2005-06-XX
KM368281.1	Influenza A virus (A/chicken/Queretaro/6535-05/2005(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2005-03-XX
KM368282.1	Influenza A virus (A/chicken/Queretaro/6794-05/2005(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2005-03-XX
KM368283.1	Influenza A virus (A/chicken/Durango/6973-05/2005(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2005-10-XX
KM368284.1	Influenza A virus (A/chicken/Durango/7035-05/2005(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2005-10-XX
KM368285.1	Influenza A virus (A/chicken/Hidalgo/7637-05/2005(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2005-06-XX
KM368287.1	Influenza A virus (A/chicken/Mexico/590-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-04-XX
KM368289.1	Influenza A virus (A/chicken/Veracruz/0835-06/2006(H5N2)) segment 4 hemaglutinin (HA) gene, complete cds	Mexico	Gallus gallus	2006-02-XX
