name	title	country	host	date
AB636524.1	Influenza A virus (A/muscovy duck/Vietnam/OIE-559/2011(H5N1)) viral cRNA, segment 4, complete sequence	Viet Nam	Cairina moschata	2011-06-XX
CY091794.1	Influenza A virus (A/chicken/Tabanan/BBVD-461/2007(H5N1)) hemagglutinin (HA) gene, complete cds	Indonesia	Gallus gallus	2007-08-21
CY091804.1	Influenza A virus (A/chicken/Jembrana/BBVD-273/2007(H5N1)) hemagglutinin (HA) gene, complete cds	Indonesia	Gallus gallus	2007-06-08
CY091808.1	Influenza A virus (A/chicken/Klungkung/BBVD-417/2007(H5N1)) hemagglutinin (HA) gene, complete cds	Indonesia	Gallus gallus	2007-08-06
CY091811.1	Influenza A virus (A/chicken/Badung/BBVD-175/2007(H5N1)) hemagglutinin (HA) gene, complete cds	Indonesia	Gallus gallus	2007-05-02
CY091812.1	Influenza A virus (A/chicken/Badung/BBVD-205/2007(H5N1)) hemagglutinin (HA) gene, complete cds	Indonesia	Gallus gallus	2007-05-15
CY091814.1	Influenza A virus (A/chicken/Badung/BBVD-219/2007(H5N1)) hemagglutinin (HA) gene, complete cds	Indonesia	Gallus gallus	2007-05-23
CY091815.1	Influenza A virus (A/chicken/Badung/BBVD-277/2007(H5N1)) hemagglutinin (HA) gene, complete cds	Indonesia	Gallus gallus	2007-06-11
CY068896.1	Influenza A virus (A/chicken/Pakistan/NARC-228/2006(H5N1)) segment 4 sequence	Pakistan	Gallus gallus	2006-XX-XX
CY068898.1	Influenza A virus (A/chicken/Pakistan/SPVC-15/2008(H5N1)) segment 4 sequence	Pakistan	Gallus gallus	2008-XX-XX
CY068900.1	Influenza A virus (A/chicken/Pakistan/SPVC-1/2008(H5N1)) segment 4 sequence	Pakistan	Gallus gallus	2008-XX-XX
CY068902.1	Influenza A virus (A/chicken/Pakistan/SPVC-20/2008(H5N1)) segment 4 sequence	Pakistan	Gallus gallus	2008-XX-XX
CY068904.1	Influenza A virus (A/chicken/Pakistan/SPVC-5/2007(H5N1)) segment 4 sequence	Pakistan	Gallus gallus	2007-XX-XX
CY068906.1	Influenza A virus (A/chicken/Pakistan/SPVC-7/2007(H5N1)) segment 4 sequence	Pakistan	Gallus gallus	2007-XX-XX
CY068908.1	Influenza A virus (A/chicken/Pakistan/SPVC-7/2008(H5N1)) segment 4 sequence	Pakistan	Gallus gallus	2008-XX-XX
CY068910.1	Influenza A virus (A/chicken/Pakistan/SPVC-8/2007(H5N1)) segment 4 sequence	Pakistan	Gallus gallus	2007-XX-XX
CY068912.1	Influenza A virus (A/chicken/Pakistan/SPVC-8/2008(H5N1)) segment 4 sequence	Pakistan	Gallus gallus	2008-XX-XX
AB629698.1	Influenza A virus (A/tufted duck/Fukushima/16/2011(H5N1)) viral cRNA, segment 4, complete sequence	Japan		2011-01-XX
AB601121.1	Influenza A virus (A/chicken/Egypt/RIMD1-5/2008(H5N1)) viral cRNA, segment 4, complete sequence	Egypt	Gallus gallus	2008-08-XX
AB601124.1	Influenza A virus (A/chicken/Egypt/RIMD4-3/2008(H5N1)) viral cRNA, segment 4, complete sequence	Egypt	Gallus gallus	2008-02-XX
AB601125.1	Influenza A virus (A/chicken/Egypt/RIMD5-3/2008(H5N1)) viral cRNA, segment 4, complete sequence	Egypt	Gallus gallus	2008-06-XX
AB601129.1	Influenza A virus (A/chicken/Egypt/RIMD10-6/2008(H5N1)) viral cRNA, segment 4, complete sequence	Egypt	Gallus gallus	2008-08-XX
AB601131.1	Influenza A virus (A/chicken/Egypt/RIMD13-1/2008(H5N1)) viral cRNA, segment 4, complete sequence	Egypt	Gallus gallus	2008-10-XX
CY063473.1	Influenza A virus (A/chicken/Bhutan/248009/2010(H5N1)) segment 4 sequence	Bhutan	Gallus gallus	2010-02-20
CY063481.1	Influenza A virus (A/chicken/Bhutan/248015/2010(H5N1)) segment 4 sequence	Bhutan	Gallus gallus	2010-02-19
AB598119.1	Influenza A virus (A/Cambodia/408008/2005(H5N1)) HA gene for hemagglutinin, complete cds	Cambodia	Homo sapiens	2005-XX-XX
JF800144.1	Influenza A virus (A/spot-billed duck/Korea/KNU SYG06/2006(H5N3)) segment 4 hemagglutinin (HA) gene, complete cds	South Korea	Anas platyrhynchos	2006-XX-XX
CY084425.1	Influenza A virus (A/snipe/France/100212c/2010(H5N2)) hemagglutinin (HA) gene, partial cds	France	Scolopacidae	2010-08-XX
CY084427.1	Influenza A virus (A/snipe/France/100212i/2010(H5N2)) hemagglutinin (HA) gene, partial cds	France	Scolopacidae	2010-08-XX
CY089515.1	Influenza A virus (A/mallard/Maryland/792/2007(H5N9)) hemagglutinin (HA) gene, complete cds	USA	Anas platyrhynchos	2007-XX-XX
JF746737.1	Influenza A virus (A/chicken/Egypt/083-NLQP/2008(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Egypt	Gallus gallus	2008-01-XX
HM013660.1	Influenza A virus (A/chicken/Gharbia/102/2006(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Egypt	Gallus gallus	2006-05-01
HM013661.1	Influenza A virus (A/chicken/Dakahlia/103/2007(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Egypt	Gallus gallus	2007-08-08
HM013666.1	Influenza A virus (A/chicken/Dakahlia/108/2009(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Egypt	Gallus gallus	2009-03-30
HM013668.1	Influenza A virus (A/chicken/Dakahlia/110/2007(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Egypt	Gallus gallus	2007-02-26
HM013669.1	Influenza A virus (A/chicken/Dakahlia/111/2008(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Egypt	Gallus gallus	2008-10-10
AB621349.1	Influenza A virus (A/greater scaup/Hokkaido/2/2011(H5N1)) viral cRNA, segment 4, complete sequence	Japan		2011-01-XX
AB465592.1	Influenza A virus (A/chicken/Egypt/CL6/2007(H5N1)) HA gene for hemagglutinin, complete cds	Egypt	Gallus gallus	2007-03-XX
AB576202.1	Influenza A virus (A/pigeon/Thailand/VSMU-7-NPT/2004(H5N1)) HA gene for hemagglutinin, complete cds	Thailand	Columba livia	2004-XX-XX
JF699672.1	Influenza A virus (A/mandarin duck/Korea/K10-480/2010(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	South Korea	Aix galericulata	2010-12-29
JF699673.1	Influenza A virus (A/mandarin duck/Korea/K10-483/2010(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	South Korea	Aix galericulata	2010-12-29
JF699674.1	Influenza A virus (A/mandarin duck/Korea/K10-485/2010(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	South Korea	Aix galericulata	2010-12-29
CY081026.1	Influenza A virus (A/chicken/Vietnam/1/2010(H5N1)) hemagglutinin (HA) gene, partial cds	Viet Nam	Gallus gallus	2010-01-01
CY081028.1	Influenza A virus (A/duck/Vietnam/2/2010(H5N1)) hemagglutinin (HA) gene, partial cds	Viet Nam	Anatidae	2010-01-10
CY081029.1	Influenza A virus (A/duck/Vietnam/3/2010(H5N1)) hemagglutinin (HA) gene, partial cds	Viet Nam	Anatidae	2010-01-17
