name	title	country	host	date
EU124080.1	Influenza A virus (A/Chicken/Medan/BBPV1-571/2005(H5N1)) segment 4 hemagglutinin-like (HA) gene, complete sequence	Indonesia	Gallus gallus	2005-10-12
EU124086.1	Influenza A virus (A/Chicken/Way Kanan/BBPVIII/2006(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Indonesia	Gallus gallus	2006-XX-XX
EU124090.1	Influenza A virus (A/Turkey/Langkat/BBPVI/2005(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Indonesia	Meleagris gallopavo	2005-XX-XX
EU124093.1	Influenza A virus (A/Chicken/Pidie/BPPV1/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Indonesia	Gallus gallus	2005-09-16
EU124094.1	Influenza A virus (A/Chicken/Medan/BPPV1-498/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Indonesia	Gallus gallus	2005-09-15
EU124097.1	Influenza A virus (A/Chicken/Murao Jambi/BBPV-II/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Indonesia	Gallus gallus	2005-XX-XX
EU124100.1	Influenza A virus (A/Chicken/Siak/BPPV-II/2005(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Indonesia	Gallus gallus	2005-XX-XX
EU124105.1	Influenza A virus (A/Duck/Madiun/BBVW1358/2005(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Indonesia	Anatidae	2005-XX-XX
EU124108.1	Influenza A virus (A/Chicken/Deli Serdang/BPPV1/2005(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Indonesia	Gallus gallus	2005-XX-XX
EU124147.1	Influenza A virus (A/Chicken/Madiun/BBVW1420/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Indonesia	Gallus gallus	2005-XX-XX
EU124148.1	Influenza A virus (A/Chicken/West Java/PWT-WIJ/2006(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Indonesia	Gallus gallus	2006-XX-XX
EU124150.1	Influenza A virus (A/Chicken/West Java/SMI-CSLK-EC/2006(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Indonesia	Gallus gallus	2006-XX-XX
EU124159.1	Influenza A virus (A/Quail/Central Java/SMRG/2006(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Indonesia	Galliformes	2006-06-01
EU124164.1	Influenza A virus (A/Duck/Vietnam/Ca Mau498A/2006(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Anatidae	2006-12-19
EU124165.1	Influenza A virus (A/Duck/Vietnam/Ca Mau498/2006(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Anatidae	2006-12-19
EU124166.1	Influenza A virus (A/Duck/Vietnam/Tien Giang 409/2006(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Anatidae	2006-12-19
EU124167.1	Influenza A virus (A/Muscovy Duck/Vietnam/Ben Tre 342/2006(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Cairina moschata	2006-07-21
EU124169.1	Influenza A virus (A/Chicken/Vietnam/Binh Duong477/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Gallus gallus	2005-08-10
EU124170.1	Influenza A virus (A/Duck/Vietnam/Dong Thap 680H/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Anatidae	2005-12-17
EU124184.1	Influenza A virus (A/Chicken/Laos/Xaythiani-26/2006(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Laos	Gallus gallus	2006-XX-XX
EU124185.1	Influenza A virus (A/Chicken/Laos/Xaythiani 32/2006(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Laos	Gallus gallus	2006-XX-XX
EU124186.1	Influenza A virus (A/Chicken/Laos/Xaythiani 36/2006(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Laos	Gallus gallus	2006-XX-XX
EU124187.1	Influenza A virus (A/Chicken/Laos/Xaythiani 37/2006(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Laos	Gallus gallus	2006-XX-XX
EU124196.1	Influenza A virus (A/Chicken/Indonesia/Padang1631-1/2006(H5N1)) segment 4 hemagglutinin-like (HA) gene, complete sequence	Indonesia	Gallus gallus	2006-XX-XX
EU124203.1	Influenza A virus (A/Chicken/Indonesia/Bangka Seletan1631-21/2006(H5N1)) segment 4 hemagglutinin-like (HA) gene, complete sequence	Indonesia	Gallus gallus	2006-09-01
EU124205.1	Influenza A virus (A/Chicken/Indonesia/Lampung1631-23/2006(H5N1)) segment 4 hemagglutinin-like (HA) gene, complete sequence	Indonesia	Gallus gallus	2006-09-01
EU124212.1	Influenza A virus (A/Chicken/Indonesia/Magelang1631-57/2007(H5N1)) segment 4 hemagglutinin-like (HA) gene, complete sequence	Indonesia	Gallus gallus	2007-01-01
EU124214.1	Influenza A virus (A/Chicken/Indonesia/Semerang1631-62/2007(H5N1)) segment 4 hemagglutinin-like (HA) gene, complete sequence	Indonesia	Gallus gallus	2007-03-01
EU118132.1	Influenza A virus (A/chicken/Vietnam/G04/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Gallus gallus	2004-XX-XX
EF405825.2	Influenza A virus (A/mallard/ON/499/2005(H5N1)) clone 2 segment 4 hemagglutinin (HA) gene, complete cds	Canada	Anas platyrhynchos	2005-XX-XX
EU095023.1	Influenza A virus (A/Egypt/2991-NAMRU3/2006(H5N1)) hemagglutinin (HA) gene, partial cds	Egypt		2006-XX-XX
EU095024.1	Influenza A virus (A/Egypt/2992-NAMRU3/2006(H5N1)) hemagglutinin (HA) gene, partial cds	Egypt		2006-XX-XX
EU095025.1	Influenza A virus (A/Egypt/2629-NAMRU3/2007(H5N1)) hemagglutinin (HA) gene, partial cds	Egypt		2007-XX-XX
EU095027.1	Influenza A virus (A/Egypt/2631-NAMRU3/2007(H5N1)) hemagglutinin (HA) gene, partial cds	Egypt		2007-XX-XX
EU095029.1	Influenza A virus (A/Egypt/2751-NAMRU3/2007(H5N1)) hemagglutinin (HA) gene, partial cds	Egypt		2007-XX-XX
EU095030.1	Influenza A virus (A/Egypt/4081-NAMRU3/2007(H5N1)) hemagglutinin (HA) gene, partial cds	Egypt		2007-XX-XX
EU095033.1	Influenza A virus (A/Egypt/6251-NAMRU3/2007(H5N1)) hemagglutinin (HA) gene, partial cds	Egypt		2007-XX-XX
CY024746.1	Influenza A virus (A/duck/Italy/775/2004(H5N3)) segment 4, complete sequence	Italy	Anatidae	2004-XX-XX
CY022621.1	Influenza A virus (A/chicken/Italy/22A/1998(H5N9)) segment 4, complete sequence	Italy	Gallus gallus	1998-XX-XX
CY022629.1	Influenza A virus (A/turkey/Italy/1325/2005(H5N2)) segment 4, complete sequence	Italy	Meleagris gallopavo	2005-XX-XX
CY022637.1	Influenza A virus (A/teal/Italy/3931-38/2005(H5N2)) segment 4, complete sequence	Italy	Anas	2005-XX-XX
CY022645.1	Influenza A virus (A/teal/Italy/3812/2005(H5N3)) segment 4, complete sequence	Italy	Anas	2005-XX-XX
CY022261.1	Influenza A virus (A/poultry/Italy/365/1997(H5N2)) segment 4, complete sequence	Italy	Aves	1997-XX-XX
EF670479.1	Influenza A virus (A/duck/Hunan/15/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	China	Anatidae	2004-01-28
EF670482.1	Influenza A virus (A/chicken/Hubei/14/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	China	Gallus gallus	2004-01-28
CY022077.1	Influenza A virus (A/poultry/Italy/367/1997(H5N2)) segment 4, complete sequence	Italy	Aves	1997-XX-XX
EF619972.1	Influenza A virus (A/duck/Singapore/3/1997(H5N3)) segment 4 hemagglutinin (HA) gene, complete cds	Singapore	Anatidae	1997-XX-XX
EF619980.1	Influenza A virus (A/turkey/Turkey/1/2005(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Turkey	Meleagris gallopavo	2005-XX-XX
EF619982.1	Influenza A virus (A/Turkey/12/2006(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Turkey	Homo sapiens	2006-XX-XX
EF619989.1	Influenza A virus (A/Turkey/15/2006(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Turkey	Homo sapiens	2006-XX-XX
EF619990.1	Influenza A virus (A/Turkey/651242/2006(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Turkey	Homo sapiens	2006-XX-XX
EF619998.1	Influenza A virus (A/Turkey/65596/2006(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Turkey	Homo sapiens	2006-XX-XX
EF566198.1	Influenza A virus (A/Chicken/Viet Nam/NCVD12/2005(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Viet Nam	Gallus gallus	2005-XX-XX
EF566199.1	Influenza A virus (A/Chicken/Viet Nam/NCVD10/2005(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Viet Nam	Gallus gallus	2005-01-24
EF566203.1	Influenza A virus (A/Duck/Viet Nam/NCVD01/2005(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Viet Nam	Anatidae	2005-XX-XX
EF541392.1	Influenza A virus (A/Prachinburi/6231/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Homo sapiens	2004-XX-XX
EF541398.1	Influenza A virus (A/duck/Viet Nam/342/2001(H5N2)) hemagglutinin (HA) gene, partial cds	Viet Nam	Anatidae	2001-XX-XX
EF541399.1	Influenza A virus (A/goose/Viet Nam/113/2001(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Viet Nam	Anatidae	2001-XX-XX
EF541400.1	Influenza A virus (A/goose/Viet Nam/324/2001(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Viet Nam	Anatidae	2001-XX-XX
EF541402.1	Influenza A virus (A/Viet Nam/1194/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Homo sapiens	2004-XX-XX
EF541403.1	Influenza A virus (A/Viet Nam/1203/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Homo sapiens	2004-XX-XX
EF541404.1	Influenza A virus (A/Viet Nam/1204/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Homo sapiens	2004-XX-XX
EF541405.1	Influenza A virus (A/duck/Viet Nam/Ncvd1/2003(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Anatidae	2003-XX-XX
EF541407.1	Influenza A virus (A/chicken/Viet Nam/Ncvd8/2003(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Gallus gallus	2003-08-01
EF541408.1	Influenza A virus (A/Thailand/16/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Homo sapiens	2004-XX-XX
EF541409.1	Influenza A virus (A/chicken/Viet Nam/1/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Viet Nam	Gallus gallus	2004-XX-XX
EF541410.1	Influenza A virus (A/Thailand/SP83/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Homo sapiens	2004-XX-XX
EF541411.1	Influenza A virus (A/Thailand/Kan353/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Homo sapiens	2004-XX-XX
EF541412.1	Influenza A virus (A/chicken/Korea/es/2003(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	South Korea	Gallus gallus	2003-XX-XX
EF541413.1	Influenza A virus (A/chicken/Laos/7191/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Laos	Gallus gallus	2004-XX-XX
EF541414.1	Influenza A virus (A/chicken/Laos/7192/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Laos	Gallus gallus	2004-XX-XX
EF541415.1	Influenza A virus (A/chicken/Laos/44/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Laos	Gallus gallus	2004-XX-XX
EF541417.1	Influenza A virus (A/Thailand/Chaiyaphum/622/2004(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Thailand	Homo sapiens	2004-XX-XX
CY021517.1	Influenza A virus (A/chicken/Ivory Coast/1787-35/2006(H5N1)) segment 4, complete sequence	Cote d'Ivoire	Gallus gallus	2006-XX-XX
CY021525.1	Influenza A virus (A/turkey/Italy/1258/2005(H5N2)) segment 4, complete sequence	Italy	Meleagris gallopavo	2005-XX-XX
AM400971.2	Influenza A virus (A/Hooded vulture/Burkina Faso/1/2006(H5N1)) partial segment 4 (HA gene), genomic RNA	Burkina Faso	Necrosyrtes monachus	2006-03-14
AM400972.1	Influenza A virus (A/Hooded vulture/Burkina Faso/2/2006(H5N1)) partial segment 4 (HA gene), genomic RNA	Burkina Faso	Necrosyrtes monachus	2006-03-17
AM400973.1	Influenza A virus (A/chicken/Burkina Faso/13.1/2006(H5N1)) partial segment 4 (HA gene), genomic RNA	Burkina Faso	Gallus gallus	2006-05-23
AM400974.1	Influenza A virus (A/chicken/Burkina Faso/01.03/2006(H5N1)) partial segment 4 (HA gene), genomic RNA	Burkina Faso	Gallus gallus	2006-05-24
AM400975.1	Influenza A virus (A/chicken/Nigeria/SO227/2006(H5N1)) partial segment 4 (HA gene), genomic RNA	Nigeria	Gallus gallus	2006-02-24
AM400978.1	Influenza A virus (A/chicken/Nigeria/SO461/2006(H5N1)) partial segment 4 (HA gene), genomic RNA	Nigeria	Gallus gallus	2006-02-24
AM400979.1	Influenza A virus (A/chicken/Nigeria/SO470/2006(H5N1)) partial segment 4 (HA gene), genomic RNA	Nigeria	Gallus gallus	2006-02-24
CY021373.1	Influenza A virus (A/chicken/Afghanistan/1573-7/2006(H5N1)) segment 4, complete sequence	Afghanistan	Gallus gallus	2006-XX-XX
CY021381.1	Influenza A virus (A/turkey/Italy/1980(H5N2)) segment 4, complete sequence	Italy	Meleagris gallopavo	1980-XX-XX
CY021389.1	Influenza A virus (A/chicken/Sudan/2115-10/2006(H5N1)) segment 4, complete sequence	Sudan	Gallus gallus	2006-XX-XX
CY021397.1	Influenza A virus (A/mallard/Italy/3401/2005(H5N1)) segment 4, complete sequence	Italy	Anas platyrhynchos	2005-XX-XX
CY020621.1	Influenza A virus (A/chicken/Afghanistan/1573-47/2006(H5N1)) segment 4, complete sequence	Afghanistan	Gallus gallus	2006-XX-XX
CY020629.1	Influenza A virus (A/chicken/Afghanistan/1573-65/2006(H5N1)) segment 4, complete sequence	Afghanistan	Gallus gallus	2006-XX-XX
CY020637.1	Influenza A virus (A/chicken/Afghanistan/1573-92/2006(H5N1)) segment 4, complete sequence	Afghanistan	Gallus gallus	2006-XX-XX
CY020645.1	Influenza A virus (A/chicken/Egypt/2253-1/2006(H5N1)) segment 4, complete sequence	Egypt	Gallus gallus	2006-XX-XX
CY020653.1	Influenza A virus (A/turkey/Egypt/2253-2/2006(H5N1)) segment 4, complete sequence	Egypt	Meleagris gallopavo	2006-XX-XX
CY020661.1	Influenza A virus (A/chicken/Sudan/1784-8/2006(H5N1)) segment 4, complete sequence	Sudan	Gallus gallus	2006-XX-XX
CY020669.1	Influenza A virus (A/chicken/Sudan/2115-9/2006(H5N1)) segment 4, complete sequence	Sudan	Gallus gallus	2006-XX-XX
CY020677.1	Influenza A virus (A/chicken/Sudan/2115-12/2006(H5N1)) segment 4, complete sequence	Sudan	Gallus gallus	2006-XX-XX
CY020693.1	Influenza A virus (A/turkey/Ivory Coast/4372-2/2006(H5N1)) segment 4, complete sequence	Cote d'Ivoire	Meleagris gallopavo	2006-12-XX
CY020701.1	Influenza A virus (A/turkey/Ivory Coast/4372-3/2006(H5N1)) segment 4, complete sequence	Cote d'Ivoire	Meleagris gallopavo	2006-12-XX
CY020709.1	Influenza A virus (A/turkey/Ivory Coast/4372-4/2006(H5N1)) segment 4, complete sequence	Cote d'Ivoire	Meleagris gallopavo	2006-12-XX
CY020229.1	Influenza A virus (A/poultry/Italy/373/1997(H5N2)) segment 4, complete sequence	Italy	Aves	1997-XX-XX
CY020349.1	Influenza A virus (A/cygnus olor/Italy/808/2006(H5N1)) segment 4, complete sequence	Italy	Cygnus olor	2006-XX-XX
