name	title	country	host	date
OR125446.1	"Influenza A virus (A/chicken/Araucania/241892-2/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Gallus gallus"	2023-03-14
OR125452.1	"Influenza A virus (A/Pelican/OHiggins/233663-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	Pelecanus	2023-01-24
OR125458.1	"Influenza A virus (A/chicken/Araucania/239569-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Gallus gallus"	2023-03-02
OR125463.1	"Influenza A virus (A/Turkey/Nuble/240489-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Meleagris gallopavo"	2023-03-07
OR125471.1	"Influenza A virus (A/Pelican/Atacama/230158-2/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	Pelecanus	2022-12-30
OR125482.1	"Influenza A virus (A/Pelican/Valparaiso/233091-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	Pelecanus	2023-01-20
OR125489.1	"Influenza A virus (A/chicken/Araucania/240481-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Gallus gallus"	2023-03-07
OR125495.1	"Influenza A virus (A/Domestic duck/Araucania/239189-3/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Anas platyrhynchos"	2023-02-28
OR125499.1	"Influenza A virus (A/Domestic duck/Araucania/240481-2/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Anas platyrhynchos"	2023-03-07
OR125503.1	"Influenza A virus (A/Pelican/OHiggins/233721-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	Pelecanus	2023-01-24
OQ547312.1	"Influenza A virus (A/Gallus gallus/Peru/AIS0545/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Gallus gallus"	2022-12-03
OQ547319.1	"Influenza A virus (A/Gallus gallus/Peru/AIS0547/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Gallus gallus"	2022-12-28
OQ547327.1	"Influenza A virus (A/Nannopterum brasilianus/Peru/AISA0451/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Phalacrocorax brasilianus"	2022-11-22
OQ547335.1	"Influenza A virus (A/Pelecanus thagus/Peru/AIS0541/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Pelecanus thagus"	2022-11-16
OQ547343.1	"Influenza A virus (A/Gallus gallus/Peru/AIS0539/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Gallus gallus"	2022-11-18
OQ547351.1	"Influenza A virus (A/Gallus gallus/Peru/AIS0540/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Gallus gallus"	2022-11-28
OQ547359.1	"Influenza A virus (A/Gallus gallus/Peru/AIS0542/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Gallus gallus"	2022-12-01
OQ547367.1	"Influenza A virus (A/Gallus gallus/Peru/AIS0543/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Gallus gallus"	2022-12-01
OQ547375.1	"Influenza A virus (A/Gallus gallus/Peru/AIS0544/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Gallus gallus"	2022-12-03
OQ547383.1	"Influenza A virus (A/Gallus gallus/Peru/AIS0546/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Gallus gallus"	2022-12-18
OQ547391.1	"Influenza A virus (A/Gallus gallus/Peru/AIS0548/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Gallus gallus"	2022-12-22
OQ547399.1	"Influenza A virus (A/Gallus gallus/Peru/AIS0549/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Gallus gallus"	2022-12-22
OQ547407.1	"Influenza A virus (A/Gallus gallus/Peru/AIS0550/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Gallus gallus"	2022-12-12
OQ547415.1	"Influenza A virus (A/Gallus gallus/Peru/AIS0551/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Gallus gallus"	2022-12-12
OQ547423.1	"Influenza A virus (A/Nannopterum brasilianus/Peru/AISA0446/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Phalacrocorax brasilianus"	2022-11-22
OQ547431.1	"Influenza A virus (A/Panthera leo/Peru/AIS0554/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Panthera leo"	2023-02-08
OQ547439.1	"Influenza A virus (A/Pelecanus thagus/Peru/AIS0538/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Pelecanus thagus"	2022-11-10
OQ547447.1	"Influenza A virus (A/Pelecanus thagus/Peru/AISA0464/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Peru	"Pelecanus thagus"	2022-11-22
